Kategori,Alt_Kategori,Marka,Model,Fiyat_TL,Segment,Kullanim_Amaci,Soket,RAM_Tipi,Watt,Kapasite,Uyumluluk,Ozellik,Puan,Yorum_Sayisi,Garanti_Yil,RGB,Boyut,Cozunurluk,Hz,VRAM,Okuma_Hizi,Yazma_Hizi,Kaynak,Fiyat_Guncelleme_Tarihi,Fiyat_Notu,Akakce_Arama_Link,Hepsiburada_Arama_Link,Amazon_Arama_Link,Teknosa_Arama_Link,Vatan_Arama_Link,Itopya_Arama_Link,Incehesap_Arama_Link,Sinerji_Arama_Link
Toplama Bilgisayar,HDD,WD,SkyHawk 6TB 7200RPM,5300,Orta,Video Edit,,,7,6TB,SATA,3.5 inç mekanik disk,7.9,1353,2,Yok,,,,,,,İtopya,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=WD+SkyHawk+6TB+7200RPM,https://www.hepsiburada.com/ara?q=WD+SkyHawk+6TB+7200RPM,https://www.amazon.com.tr/s?k=WD+SkyHawk+6TB+7200RPM,https://www.teknosa.com/arama/?s=WD+SkyHawk+6TB+7200RPM,https://www.vatanbilgisayar.com/arama/WD+SkyHawk+6TB+7200RPM,https://www.itopya.com/Arama?q=WD+SkyHawk+6TB+7200RPM,https://www.incehesap.com/arama/?q=WD+SkyHawk+6TB+7200RPM,https://www.sinerji.gen.tr/arama?q=WD+SkyHawk+6TB+7200RPM
Toplama Bilgisayar,Klavye,Cooler Master,K380 RGB Mekanik 60%,875,Giriş,Oyun,,,,,Kablosuz,Mekanik klavye,7.4,1079,2,Var,60%,,,,,,İncehesap,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Cooler+Master+K380+RGB+Mekanik+60%25,https://www.hepsiburada.com/ara?q=Cooler+Master+K380+RGB+Mekanik+60%25,https://www.amazon.com.tr/s?k=Cooler+Master+K380+RGB+Mekanik+60%25,https://www.teknosa.com/arama/?s=Cooler+Master+K380+RGB+Mekanik+60%25,https://www.vatanbilgisayar.com/arama/Cooler+Master+K380+RGB+Mekanik+60%25,https://www.itopya.com/Arama?q=Cooler+Master+K380+RGB+Mekanik+60%25,https://www.incehesap.com/arama/?q=Cooler+Master+K380+RGB+Mekanik+60%25,https://www.sinerji.gen.tr/arama?q=Cooler+Master+K380+RGB+Mekanik+60%25
Toplama Bilgisayar,Mouse,Zowie,G102 Mini 8000DPI,4000,Üst,Günlük Kullanım,,,,,Bluetooth,"8000 DPI sensör, 59g",8.8,4269,2,Yok,,,,,,,İncehesap,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Zowie+G102+Mini+8000DPI,https://www.hepsiburada.com/ara?q=Zowie+G102+Mini+8000DPI,https://www.amazon.com.tr/s?k=Zowie+G102+Mini+8000DPI,https://www.teknosa.com/arama/?s=Zowie+G102+Mini+8000DPI,https://www.vatanbilgisayar.com/arama/Zowie+G102+Mini+8000DPI,https://www.itopya.com/Arama?q=Zowie+G102+Mini+8000DPI,https://www.incehesap.com/arama/?q=Zowie+G102+Mini+8000DPI,https://www.sinerji.gen.tr/arama?q=Zowie+G102+Mini+8000DPI
Toplama Bilgisayar,SSD,Crucial,NV2 4TB NVMe,10300,Amiral,Oyun,,,3,4TB,M2 NVMe,PCIe 3.0 NVMe SSD,9.7,1708,5,Yok,,,,,3145 MB/s,2351 MB/s,GamingGenTR,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Crucial+NV2+4TB+NVMe,https://www.hepsiburada.com/ara?q=Crucial+NV2+4TB+NVMe,https://www.amazon.com.tr/s?k=Crucial+NV2+4TB+NVMe,https://www.teknosa.com/arama/?s=Crucial+NV2+4TB+NVMe,https://www.vatanbilgisayar.com/arama/Crucial+NV2+4TB+NVMe,https://www.itopya.com/Arama?q=Crucial+NV2+4TB+NVMe,https://www.incehesap.com/arama/?q=Crucial+NV2+4TB+NVMe,https://www.sinerji.gen.tr/arama?q=Crucial+NV2+4TB+NVMe
Toplama Bilgisayar,Kasa,ASUS,4000D Airflow,2450,Giriş,Ofis,,,,,E-ATX,"Full Tower, mesh/airflow odaklı kasa",6.6,1132,2,Var,Full Tower,,,,,,Akakçe,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=ASUS+4000D+Airflow,https://www.hepsiburada.com/ara?q=ASUS+4000D+Airflow,https://www.amazon.com.tr/s?k=ASUS+4000D+Airflow,https://www.teknosa.com/arama/?s=ASUS+4000D+Airflow,https://www.vatanbilgisayar.com/arama/ASUS+4000D+Airflow,https://www.itopya.com/Arama?q=ASUS+4000D+Airflow,https://www.incehesap.com/arama/?q=ASUS+4000D+Airflow,https://www.sinerji.gen.tr/arama?q=ASUS+4000D+Airflow
Toplama Bilgisayar,Mouse,Pulsar,Model O Mini 36000DPI,1400,Orta,Yazılım,,,,,Bluetooth,"36000 DPI sensör, 59g",8.2,1781,2,Var,,,,,,,Sinerji,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Pulsar+Model+O+Mini+36000DPI,https://www.hepsiburada.com/ara?q=Pulsar+Model+O+Mini+36000DPI,https://www.amazon.com.tr/s?k=Pulsar+Model+O+Mini+36000DPI,https://www.teknosa.com/arama/?s=Pulsar+Model+O+Mini+36000DPI,https://www.vatanbilgisayar.com/arama/Pulsar+Model+O+Mini+36000DPI,https://www.itopya.com/Arama?q=Pulsar+Model+O+Mini+36000DPI,https://www.incehesap.com/arama/?q=Pulsar+Model+O+Mini+36000DPI,https://www.sinerji.gen.tr/arama?q=Pulsar+Model+O+Mini+36000DPI
Toplama Bilgisayar,Kasa,DarkFlash,Eclipse RGB,2700,Orta,Günlük Kullanım,,,,,E-ATX,"Mid Tower, mesh/airflow odaklı kasa",8.6,1842,2,Var,Mid Tower,,,,,,GamingGenTR,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=DarkFlash+Eclipse+RGB,https://www.hepsiburada.com/ara?q=DarkFlash+Eclipse+RGB,https://www.amazon.com.tr/s?k=DarkFlash+Eclipse+RGB,https://www.teknosa.com/arama/?s=DarkFlash+Eclipse+RGB,https://www.vatanbilgisayar.com/arama/DarkFlash+Eclipse+RGB,https://www.itopya.com/Arama?q=DarkFlash+Eclipse+RGB,https://www.incehesap.com/arama/?q=DarkFlash+Eclipse+RGB,https://www.sinerji.gen.tr/arama?q=DarkFlash+Eclipse+RGB
Toplama Bilgisayar,İşlemci,AMD,Ryzen 9 9900X Pro Sistem,28250,Amiral,Video Edit,AM5,DDR5,120,,AM5-DDR5,Zen 5 12 çekirdek,9.5,2150,3,Yok,,,,,,,Epey,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=AMD+Ryzen+9+9900X+Pro+Sistem,https://www.hepsiburada.com/ara?q=AMD+Ryzen+9+9900X+Pro+Sistem,https://www.amazon.com.tr/s?k=AMD+Ryzen+9+9900X+Pro+Sistem,https://www.teknosa.com/arama/?s=AMD+Ryzen+9+9900X+Pro+Sistem,https://www.vatanbilgisayar.com/arama/AMD+Ryzen+9+9900X+Pro+Sistem,https://www.itopya.com/Arama?q=AMD+Ryzen+9+9900X+Pro+Sistem,https://www.incehesap.com/arama/?q=AMD+Ryzen+9+9900X+Pro+Sistem,https://www.sinerji.gen.tr/arama?q=AMD+Ryzen+9+9900X+Pro+Sistem
Toplama Bilgisayar,Mouse,Darmoshark,Clutch GM Mini 12000DPI,450,Giriş,Oyun,,,,,Bluetooth,"12000 DPI sensör, 49g",7.1,2807,2,Var,,,,,,,Sinerji,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Darmoshark+Clutch+GM+Mini+12000DPI,https://www.hepsiburada.com/ara?q=Darmoshark+Clutch+GM+Mini+12000DPI,https://www.amazon.com.tr/s?k=Darmoshark+Clutch+GM+Mini+12000DPI,https://www.teknosa.com/arama/?s=Darmoshark+Clutch+GM+Mini+12000DPI,https://www.vatanbilgisayar.com/arama/Darmoshark+Clutch+GM+Mini+12000DPI,https://www.itopya.com/Arama?q=Darmoshark+Clutch+GM+Mini+12000DPI,https://www.incehesap.com/arama/?q=Darmoshark+Clutch+GM+Mini+12000DPI,https://www.sinerji.gen.tr/arama?q=Darmoshark+Clutch+GM+Mini+12000DPI
Toplama Bilgisayar,Ekran Kartı,MSI,RX 7700 XT Twin Edge 12GB,35250,Üst,Yapay Zeka,,GDDR6,245,12GB,PCIe,1440p oyun,8.2,3655,3,Yok,,,,12GB,,,İncehesap,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=MSI+RX+7700+XT+Twin+Edge+12GB,https://www.hepsiburada.com/ara?q=MSI+RX+7700+XT+Twin+Edge+12GB,https://www.amazon.com.tr/s?k=MSI+RX+7700+XT+Twin+Edge+12GB,https://www.teknosa.com/arama/?s=MSI+RX+7700+XT+Twin+Edge+12GB,https://www.vatanbilgisayar.com/arama/MSI+RX+7700+XT+Twin+Edge+12GB,https://www.itopya.com/Arama?q=MSI+RX+7700+XT+Twin+Edge+12GB,https://www.incehesap.com/arama/?q=MSI+RX+7700+XT+Twin+Edge+12GB,https://www.sinerji.gen.tr/arama?q=MSI+RX+7700+XT+Twin+Edge+12GB
