ID,Kategori,Model,Segment,Kullanım Amacı,İşlemci,RAM,Depolama,GPU,Ekran,İşletim Sistemi,Fiyat (TL),Batarya (mAh),Kamera (MP),5G,NFC,Su Geçirmezlik,GPS,Kulaklık Tipi,Sürücü Boyutu,Frekans Yanıtı,Gürültü Engelleme,Mikrofon,Bağlantı Türü,Pil Ömrü,Pil Ömrü (gün)
1,Telefon,iPhone 17 Pro Max 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,163258,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
2,Akıllı Saat / Bileklik,OnePlus Watch 3,Üst Segment,Günlük Kullanım,Snapdragon W5+,,,,,Wear OS 5,9013,,,,,5ATM,Evet,,,,,,,,16
3,Kulaklık,Apple AirPods 4 ANC,Üst Segment,Günlük Kullanım,,,,,,,8848,,,,,,,TWS,—,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.3,5 saat (kılıfla 30),
4,Tablet,Samsung Galaxy Tab A9+ Wi-Fi 64GB,Giriş Seviyesi,Uzaktan Eğitim,Snapdragon 695,4GB,64GB,,11 inç TFT IPS 90Hz,Android 13,8167,,,Hayır,Hayır,Yok,,,,,,,,,
5,Akıllı Saat / Bileklik,Xiaomi Smart Band 9,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,1190,,,,,5ATM,Hayır,,,,,,,,21
6,Telefon,Samsung Galaxy S25 FE 256GB,Üst Segment,Günlük Kullanım,Exynos 2500,8GB,256GB,,6.7 inç Dynamic AMOLED 120Hz,Android 15,32702,4900,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
7,Akıllı Saat / Bileklik,Garmin Fenix 8 AMOLED 51mm,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,42000,,,,,10ATM,Evet,,,,,,,,29
8,Bilgisayar,Asus ROG Zephyrus G14 RTX 4070,Oyuncu,Oyun,AMD Ryzen 9 7940HS,16GB,1TB SSD,NVIDIA RTX 4070 8GB,14 inç QHD+ IPS 165Hz,Windows 11 Home,58156,,,,,,,,,,,,,,
9,Tablet,Apple iPad mini 7 Wi-Fi 128GB,Üst Segment,e-Kitap & Okuma,Apple A17 Pro,8GB,128GB,,8.3 inç Liquid Retina IPS 60Hz,iPadOS 18,21964,,,Hayır,Evet,IP68,,,,,,,,,
10,Telefon,Sony Xperia 1 VII 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.5 inç 4K OLED 120Hz,Android 15,61055,5000,52+12+12MP,Evet,Evet,IP65,,,,,,,,,
11,Bilgisayar,MSI Raider GE78 RTX 4090,Oyuncu,Oyun & Akış,Intel Core i9-14900HX,32GB,2TB SSD,NVIDIA RTX 4090 16GB,17.3 inç QHD+ MiniLED 240Hz,Windows 11 Home,120143,,,,,,,,,,,,,,
12,Kulaklık,Xiaomi Buds 5 Pro,Üst Segment,Günlük Kullanım,,,,,,,4565,,,,,,,TWS,11mm,20Hz-40kHz,Hibrit ANC,6 mikrofon,Bluetooth 5.4,9 saat (kılıfla 38),
13,Kulaklık,Sony LinkBuds S,Orta Segment,Spor & Koşu,,,,,,,4954,,,,,,,TWS,5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,6 saat (kılıfla 20),
14,Bilgisayar,MacBook Pro M4 Max 16 48GB,İş İstasyonu,3D Modelleme,Apple M4 Max,48GB,1TB SSD,Apple M4 Max GPU 40-core,16.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,162417,,,,,,,,,,,,,,
15,Telefon,Redmi Note 14 Pro+ 5G 256GB,Orta Segment,Fotoğrafçılık,MediaTek Dimensity 9200+,12GB,256GB,,6.67 inç AMOLED 120Hz,Android 14,20355,5110,200+8+2MP,Evet,Evet,IP68,,,,,,,,,
16,Akıllı Saat / Bileklik,Suunto Race S,Premium & Spor,Koşu & Antrenman,—,,,,,Suunto OS,17252,,,,,10ATM,Evet,,,,,,,,40
17,Akıllı Saat / Bileklik,Redmi Watch 5 Active,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,1468,,,,,5ATM,Evet,,,,,,,,18
18,Bilgisayar,HP Pavilion 15 i3,Bütçe,Ofis,Intel Core i3-1315U,8GB,256GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,13530,,,,,,,,,,,,,,
19,Bilgisayar,MacBook Air M4 13 16GB 512GB,Üst Segment,İçerik Üretimi,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,55033,,,,,,,,,,,,,,
20,Bilgisayar,Dell G15 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7745HX,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 165Hz,Windows 11 Home,40080,,,,,,,,,,,,,,
21,Tablet,Apple iPad mini 7 Wi-Fi 128GB,Üst Segment,e-Kitap & Okuma,Apple A17 Pro,8GB,128GB,,8.3 inç Liquid Retina IPS 60Hz,iPadOS 18,21709,,,Hayır,Evet,IP68,,,,,,,,,
22,Telefon,Samsung Galaxy A56 256GB,Üst Segment,Günlük Kullanım,Exynos 1580,8GB,256GB,,6.7 inç Super AMOLED 120Hz,Android 15,23398,5000,50+12+5MP,Evet,Evet,IP67,,,,,,,,,
23,Akıllı Saat / Bileklik,Huawei Watch GT 5 Pro 46mm,Üst Segment,Sağlık Takibi,Kirin A2,,,,,HarmonyOS Watch,10788,,,,,5ATM,Evet,,,,,,,,14
24,Bilgisayar,Lenovo Legion 5 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7745HX,16GB,1TB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,41104,,,,,,,,,,,,,,
25,Telefon,Google Pixel 9a 128GB,Üst Segment,Günlük Kullanım,Google Tensor G4,8GB,128GB,,6.1 inç OLED 120Hz,Android 15,26092,5100,48+13MP,Evet,Evet,IP67,,,,,,,,,
26,Bilgisayar,MacBook Air M5 13 16GB 512GB,Üst Segment,İçerik Üretimi,Apple M5,16GB,512GB SSD,Apple M5 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,59170,,,,,,,,,,,,,,
27,Telefon,Samsung Galaxy A17 5G 256GB,Giriş Seviyesi,Bütçe Dostu,Exynos 1280,8GB,256GB,,6.5 inç Super AMOLED 90Hz,Android 15,13706,5000,50+5+2MP,Evet,Hayır,Yok,,,,,,,,,
28,Bilgisayar,MacBook Air M4 13 8GB 256GB,Üst Segment,Günlük Kullanım,Apple M4,8GB,256GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,45158,,,,,,,,,,,,,,
29,Bilgisayar,Huawei MateBook X Pro i7,Üst Segment,İçerik Üretimi,Intel Core i7-1360P,16GB,1TB SSD,Intel Iris Xe Graphics,14.2 inç 3.1K OLED 90Hz,Windows 11 Pro,63199,,,,,,,,,,,,,,
30,Kulaklık,JBL Live 770NC,Orta Segment,Günlük Kullanım,,,,,,,4550,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.3,40 saat,
31,Bilgisayar,Asus ROG Zephyrus G14 RTX 4070,Oyuncu,Oyun,AMD Ryzen 9 7940HS,16GB,1TB SSD,NVIDIA RTX 4070 8GB,14 inç QHD+ IPS 165Hz,Windows 11 Home,57311,,,,,,,,,,,,,,
